City,Country,Latitude,Longitude,Population
andorra la vella,ad,42.5,1.5166667,20430
canillo,ad,42.5666667,1.6,3292
encamp,ad,42.5333333,1.5833333,11224
la massana,ad,42.55,1.5166667,7211
les escaldes,ad,42.5,1.5333333,15854
ordino,ad,42.55,1.5333333,2553
sant julia de loria,ad,42.4666667,1.5,8020
abu dhabi,ae,24.466667,54.366667,603687
dubai,ae,25.258172,55.304717,1137376
sharjah,ae,25.35731,55.403304,543942
acin,af,34.082481,70.668152,15098
anar darreh,af,32.758698,61.653969,10023
andarab,af,35.633484,69.260195,27034
asadabad,af,34.873113,71.14697,48400
asmar,af,35.033328,71.358087,15708
aybak,af,36.26468,68.015512,47877
azrow,af,34.173553,69.645728,12526
baglan,af,36.130684,68.708286,108481
bagrami,af,34.493761,69.274274,30256
baraki barak,af,33.9675,68.948611,22305
cah ab,af,37.397734,69.814644,23424
carikar,af,35.016585,69.174011,53693
ciras,af,35.416737,65.982341,12778
dawlatabad,af,36.432589,64.920713,13603
dawlatabad,af,36.98782,66.82066,17674
deh rawud,af,32.624131,65.459659,25683
eskasem,af,36.706932,71.570658,12120
farah,af,32.374508,62.116383,43574
gardan diwal,af,34.508977,68.260739,6815
gardez,af,33.597439,69.225922,103732
gazni,af,33.550833,68.4225,143049
geresk,af,31.820894,64.570048,43638
herat,af,34.348167,62.199673,272880
jalalabad,af,34.426468,70.45153,200389
jurm,af,36.864768,70.834207,12121
kabul,af,34.516667,69.183333,3043589
kholm,af,36.697362,67.698255,64954
khowst,af,33.339512,69.92041,96246
kuhestan,af,34.653889,61.197778,12087
kusk,af,33.29565,61.952206,16952
lar gerd,af,35.489361,66.664088,11635
mehtar lam,af,34.671389,70.209444,17350
mirabad,af,30.436244,61.838304,14160
nahrin,af,36.064904,69.13343,22389
nuristan,af,34.95,70.4,17072
orgun,af,32.901111,69.152798,10665
pagman,af,34.5875,68.953333,49173
panjab,af,34.387949,67.023273,13471
qandahar,af,31.613323,65.710126,391230
qarchi gak,af,37.039988,66.788912,8942
qarqin,af,37.404464,66.074375,15023
qunduz,af,36.728955,68.857001,161943
rostaq,af,37.126035,69.83045,25644
rudbar,af,30.15,62.6,11034
sahrak,af,34.107375,64.305199,15967
sangin,af,32.072752,64.835903,13579
sar-e pul,af,36.215443,65.932487,52138
sharan,af,33.146667,68.791667,7368
shibarghan,af,36.667567,65.752904,55658
sindand,af,33.302944,62.1474,29273
tagab,af,34.855007,69.64917,6400
taloqan,af,36.734133,69.533559,64275
taywarah,af,33.521176,64.421156,14398
tir pol,af,34.594307,61.268951,6979
tokzar,af,35.948308,66.42132,12021
uruzgan,af,32.927751,66.632534,13400
zaranj,af,30.966667,61.883333,33894
all saints,ag,17.05,-61.8,2526
carlisle,ag,17.1333333,-61.8,831
codrington,ag,17.6333333,-61.8333333,682
freetown,ag,17.05,-61.7,623
liberta,ag,17.0333333,-61.7833333,1668
old road,ag,17.0166667,-61.8333333,623
parham,ag,17.0833333,-61.7666667,969
swetes,ag,17.05,-61.8,727
the valley,ai,18.2166667,-63.05,1379
bajram curri,al,42.3572222,20.0730556,7967
ballsh,al,40.5988889,19.7347222,10361
berat,al,40.7058333,19.9522222,47606
bilisht,al,40.6275,20.99,7114
bulqize,al,41.4916667,20.2219444,11212
burrel,al,41.6102778,20.0088889,15539
cerrik,al,41.0316667,19.9758333,14269
corovode,al,40.5041667,20.2272222,14046
delvine,al,39.9511111,20.0977778,3916
durres,al,41.3230556,19.4413889,122034
elbasan,al,41.1125,20.0822222,100903
erseke,al,40.3377778,20.6788889,7890
fier,al,40.7238889,19.5561111,59719
fierze,al,42.2647222,20.0269444,742
fierze,al,42.2605556,20.0169444,742
fushe-arrez,al,42.0622222,20.0166667,2438
fushe-kruje,al,41.4783333,19.7177778,10458
gjirokaster,al,40.0758333,20.1388889,23437
gramsh,al,40.8697222,20.1844444,11556
himare,al,40.1016667,19.7447222,4596
kamze,al,41.3816667,19.7602778,11026
kavaje,al,41.1855556,19.5569444,29354
kelcyre,al,40.3130556,20.1894444,2486
kerrabe,al,41.2155556,19.9713889,1177
klos,al,41.4844444,20.1080556,683
konispol,al,39.6588889,20.1813889,1349
koplik,al,42.2136111,19.4363889,4078
korce,al,40.6186111,20.7808333,58259
kraste,al,41.4225,20.205,1168
kruje,al,41.5091667,19.7927778,21286
kucove,al,40.8002778,19.9166667,18166
kukes,al,42.0769444,20.4219444,17972
kurbnesh,al,41.7797222,20.0836111,1429
lac,al,41.6355556,19.7130556,24825
leskovik,al,40.1513889,20.5972222,2655
lezhe,al,41.7836111,19.6436111,18695
libohove,al,40.0311111,20.2630556,3651
librazhd,al,41.1794444,20.315,12691
lushnje,al,40.9419444,19.705,41423
maliq,al,40.7058333,20.6997222,3735
mamurras,al,41.5775,19.6922222,8282
memaliaj,al,40.3458333,19.9791667,4951
milot,al,41.6802778,19.7244444,2157
orikum,al,40.3252778,19.4713889,2604
patos,al,40.6833333,19.6194444,22679
peqin,al,41.0461111,19.7511111,7513
permet,al,40.2336111,20.3516667,10686
perrenjas,al,41.0730556,20.5488889,4015
peshkopi,al,41.685,20.4288889,15261
pogradec,al,40.9025,20.6525,25758
polican,al,40.6122222,20.0980556,10663
puke,al,42.0444444,19.8997222,6495
roskovec,al,40.7375,19.7022222,6657
rreshen,al,41.7675,19.8755556,10064
rrogozhine,al,41.0763889,19.6652778,5620
rubik,al,41.7744444,19.7861111,2332
sarande,al,39.8755556,20.0052778,15147
selenice,al,40.5305556,19.6358333,6912
shengjin,al,41.8136111,19.5938889,2698
shijak,al,41.3455556,19.5672222,14138
shkoder,al,42.0675,19.5130556,89102
tepelene,al,40.2958333,20.0191667,11955
tirana,al,41.3275,19.8188889,374801
ulze,al,41.6827778,19.8933333,600
vlore,al,40.4666667,19.4897222,89528
vore,al,41.3908333,19.655,4973
abovyan,am,40.0488889,44.5475,1379
abovyan,am,40.2691667,44.6244444,35677
agarakadzor,am,39.7363889,45.3455556,1195
agarak,am,40.3077778,44.2847222,1575
agarak,am,41.0105556,44.4675,1278
agarak,am,39.2038889,46.5472222,4707
aghavnadzor,am,40.5841667,44.6913889,1252
aghavnadzor,am,39.7836111,45.2280556,1925
aghavnatun,am,40.2336111,44.2513889,2913
akhuryan,am,40.7813889,43.8963889,7672
aknalich,am,40.1430556,44.1483333,2654
aknashen,am,40.0958333,44.2861111,1362
alaverdi,am,41.1305556,44.6519444,13186
amasia,am,40.9466667,43.7813889,1675
amberd,am,40.2416667,44.2727778,1267
anushavan,am,40.6419444,43.9822222,1532
apaga,am,40.0961111,44.2511111,1634
aparan,am,40.5961111,44.3536111,5670
aragats,am,40.3330556,43.6580556,2952
aragats,am,40.2183333,44.2327778,5092
aragyukh,am,40.4025,44.5436111,999
aramus,am,40.2511111,44.6630556,3214
arapi,am,40.7797222,43.8005556,1738
ararat,am,39.8094444,44.7144444,6554
arazap,am,40.0427778,44.1458333,1373
archis,am,41.1641667,44.8725,1235
areni,am,39.7208333,45.1838889,1718
arevabuyr,am,40.0361111,44.4688889,1041
