icao,active,iata,fs,name,phoneNumber
LCI,True,LF,LCI,Lao Central Airlines ,
TGU,True,5U,TGU,TAG,
BTI,True,BT,BT,Air Baltic,
DAN,True,9J,9J,Dana Airlines,
RNE,True,2O,2O,Island Air Service,
,True,DP,DP*,Pobeda,
,True,9Y,9Y*,National Airways,
NPT,True,,NPT,Atlantic Airlines,
ICV,True,C8,C8,Cargolux Italia,
WTA,True,FK,FK,Africa West,
,True,DH,DH*,Norwegian Air Norway,
EVS,True,8K,8K,EVAS Air Charters,
,True,FP,FP*,S.A.C.,
CJT,True,W8,W8,Cargojet,
KLS,True,KD,KLS,Kal Star Aviation,
ALY,True,YZ,YZ*,Alas Uruguay,
JBW,True,3J,JBW,Jubba Airways (Kenya),
HCC,True,HC,HCC,Holidays Czech Airlines,
APJ,True,MM,APJ,Peach Aviation,
TUY,True,L4,TUY,LTA,
LAE,True,L7,LAE,LANCO,
LTR,True,L5,L5*,Lufttransport,
CIM,True,QA,QA,Cimber,
KBZ,True,K7,KBZ,Air KBZ,
TNU,True,8B,TNU,TransNusa,
LYC,True,L2,L2,Lynden Air Cargo,
AFU,True,2F,2F*,Afrinat International,
MPK,True,I6,MPK,Air Indus,
CAO,True,,CAO,Air China Cargo ,
VTI,True,UK,UK*,Vistara,
BEK,True,Z9,BEK,Bek Air,
IAE,True,IO,IAE,IrAero,
,True,GL,GL*,Airglow Aviation Services,
WLB,True,W7,W7*,Wings of Lebanon,
ATN,True,8C,ATN,ATI,
GUG,True,GU,GU,Aviateca Guatemala,
GHY,True,,GHY,German Sky Airlines ,
CRL,True,SS,SS,Corsair,
CCM,True,XK,XK,Air Corsica,
JAB,True,W9,W9*,Air Bagan,
AZN,True,Z8,Z8*,Amaszonas,
SSF,True,D2,D2,Severstal Aircompany,
SNC,True,2Q,SNC,Air Cargo Carriers,
AUK,True,UI,UI*,Auric Air,
PST,True,7P,PST,Air Panama,
AEW,True,VV,VV,Aerosvit Airlines,
LMU,True,UJ,UJ,AlMasria,
MLD,True,9U,9U,Air Moldova,
AVN,True,NF,NF,Air Vanuatu,678 238 48
NJS,True,NC,NJS,Cobham Aviation,
,True,1B,1B,British Airways Cargo,
KJA,True,2S,2S*,Kinda Airlines,
BSX,True,5B,BSX,Bassaka Air,
IIA,True,I7,IIA,Inter Iles Air,
GEC,True,,GEC,Lufthansa Cargo ,
,True,YG,YG*,YTO Cargo,
CND,True,CD,CND,Corendon Dutch Airlines,
AIC,True,AI,AI,Air India,
TAH,True,,TAH,Air Moorea,
ADH,True,AP,AP,Air One,
GZP,True,4G,4G,Gazpromavia,
IBK,True,D8,D8*,Norwegian Air International,
ABR,True,AG,AG,ASL Airlines Ireland,
PRW,True,6F,PRW,Primera Air Nordic,
RAC,True,,RAC,Ryukyu Air Commuter,
HBH,True,NS,NS,Hebei Airlines,
JLX,True,J0,J0,Jet Link Express,
,True,UW,UW*,Uni-Top Airlines,
ODM,True,5F,5F*,Pan African Airways,
FYW,True,,FYW,Flyways Linhas Aereas,
RIO,True,,RIO,Rio Linhas Aereas,
SID,True,,SID,Sideral Linhas Aereas,
MFG,True,8G,MFG,Fly Mid Africa,
UMK,True,2N,UMK,Yuzmashavia,
EAK,True,6Z,EAK,Euro-Asia Air,
XLF,True,SE,SE,XL Airways France,
TBZ,True,,TBZ,ATA Airlines,
MHV,True,M2,MHV,MHS Aviation,
BGN,True,,BGN,Air Inter Transport,
SHT,True,,SHT,British Airways Shuttle,
NAC,True,NC,NC,Northern Air Cargo,
ROU,True,RV,RV*,Air Canada rouge,
,True,GX,GX*,Guangxi Beibu Gulf Airlines,
BGM,True,2B,BGM,Ak Bars Aero,
PAM,True,,PAM,MAP Linhas Aereas,
BRJ,True,YB,YB*,Bora Jet,
OAW,True,2L,2L,Helvetic Airways,
NMA,True,NE,NE*,Nesma Airlines,
ORC,True,OC,OC,Oriental Air Bridge,
RXP,True,,RXP,RAM Express,
FLE,True,F8,F8*,Flair Airlines,
SLD,True,,SLD,Silver Air,
PAQ,True,PE,PE*,Pacific Air Express,
