ISO 3166-1 country code, FIPS 5-2 subdivision code, GNS FD, GNS UFI, ISO 639-1 language code, language script, name, latitude, longitude
AF,29,PPLA,10735690,ps,arabic,"شرن",33.175678,68.730449
AF,29,PPLA,10735690,ps,latin,"Sharan",33.175678,68.730449
AF,6,PPL,-3377417,ps,latin,"Pur Chaman",32.979774,63.871933
AF,6,PPL,-3377417,ps,arabic,"پر چمن",32.979774,63.871933
AF,31,PPLA2,-3387979,ps,arabic,"قرقین",37.41853,66.043581
AF,31,PPLA2,-3387979,ps,latin,"Qarqīn",37.41853,66.043581
AF,31,PPLA2,-3383907,ps,arabic,"منگجک",37.027901,66.128171
AF,31,PPLA2,-3383907,ps,latin,"Mingajik",37.027901,66.128171
AF,26,PPLA2,-3380287,ps,latin,"Khānaqāh",36.62587,69.536948
AF,26,PPLA2,-3380287,ps,arabic,"خانقاه",36.62587,69.536948
AF,26,PPLA2,-3375117,ps,latin,"Farkhār",36.572884,69.857834
AF,26,PPLA2,-3375117,ps,arabic,"فرخار",36.572884,69.857834
AF,26,PPLA2,-3373300,ps,latin,"Darqad",37.384145,69.452941
AF,26,PPLA2,-3373300,ps,arabic,"درقد",37.384145,69.452941
AF,35,PPLA,-3383875,ps,arabic,"مهتر لام",34.671389,70.209444
AF,35,PPLA,-3383875,ps,latin,"Mehtar Lām",34.671389,70.209444
AF,23,PPLA2,-3379662,ps,latin,"Kishk-e Nakhūd",31.62519,65.055108
AF,23,PPLA2,-3379662,ps,arabic,"کشک نخود",31.62519,65.055108
AF,38,PPLA2,-3370337,ps,latin,"Barg-e Matāl",35.672831,71.343387
AF,38,PPLA2,-3370337,ps,arabic,"برگ متال",35.672831,71.343387
AF,10,PPL,9168411,ps,latin,"Baghrān",33.076343,65.089721
AF,10,PPL,9168411,ps,arabic,"بغران",33.076343,65.089721
AF,1,PPLA2,-3373219,ps,latin,"Darāyim",36.866667,70.383333
AF,1,PPLA2,-3373219,ps,arabic,"درايم",36.866667,70.383333
AF,40,PPLA2,6286885,ps,latin,"Dahan-e Jarf",34.928907,68.462727
AF,40,PPLA2,6286885,ps,arabic,"دهن جرف",34.928907,68.462727
AF,10,PPLA2,-3384914,ps,latin,"Nād ‘Alī",31.642864,64.23982
AF,10,PPLA2,-3384914,ps,arabic,"ناد علی",31.642864,64.23982
AF,26,PPLA,-3394557,ps,latin,"Tāluqān",36.734133,69.533559
AF,26,PPLA,-3394557,ps,arabic,"تالقان",36.734133,69.533559
AF,13,ADM2,-3385933,ps,arabic,"سروبی",34.556073,69.707238
AF,13,ADM2,-3385933,ps,latin,"Sarōbī",34.556073,69.707238
